feature,mean,std,min,max,missing
mean radius,14.127291739894552,3.5240488262120775,6.981,28.11,0
mean texture,19.289648506151142,4.301035768166949,9.71,39.28,0
mean perimeter,91.96903339191564,24.298981038754906,43.79,188.5,0
mean area,654.8891036906855,351.914129181653,143.5,2501.0,0
mean smoothness,0.0963602811950791,0.01406412813767362,0.05263,0.1634,0
mean compactness,0.10434098418277679,0.052812757932512194,0.01938,0.3454,0
mean concavity,0.0887993158172232,0.07971980870789348,0.0,0.4268,0
mean concave points,0.04891914586994728,0.038802844859153605,0.0,0.2012,0
mean symmetry,0.18116186291739894,0.027414281336035715,0.106,0.304,0
mean fractal dimension,0.06279760984182776,0.007060362795084459,0.04996,0.09744,0
radius error,0.40517205623901575,0.2773127329861039,0.1115,2.873,0
texture error,1.2168534270650264,0.5516483926172023,0.3602,4.885,0
perimeter error,2.8660592267135327,2.0218545540421076,0.757,21.98,0
area error,40.337079086116,45.49100551613181,6.802,542.2,0
smoothness error,0.007040978910369069,0.0030025179438390656,0.001713,0.03113,0
compactness error,0.025478138840070295,0.017908179325677388,0.002252,0.1354,0
concavity error,0.03189371634446397,0.03018606032298841,0.0,0.396,0
concave points error,0.011796137082601054,0.006170285174046869,0.0,0.05279,0
symmetry error,0.02054229876977153,0.008266371528798399,0.007882,0.07895,0
fractal dimension error,0.0037949038664323374,0.002646070967089195,0.0008948,0.02984,0
worst radius,16.269189806678387,4.833241580469323,7.93,36.04,0
worst texture,25.677223198594024,6.146257623038319,12.02,49.54,0
worst perimeter,107.26121265377857,33.602542269036356,50.41,251.2,0
worst area,880.5831282952548,569.356992669949,185.2,4254.0,0
worst smoothness,0.13236859402460457,0.022832429404835465,0.07117,0.2226,0
worst compactness,0.25426504393673116,0.157336488913742,0.02729,1.058,0
worst concavity,0.27218848330404216,0.2086242806081323,0.0,1.252,0
worst concave points,0.11460622319859401,0.06573234119594207,0.0,0.291,0
worst symmetry,0.2900755711775044,0.061867467537518685,0.1565,0.6638,0
worst fractal dimension,0.0839458172231986,0.018061267348893986,0.05504,0.2075,0
